Period End,Total,Quantity,Item ID,Item Name,cost_per_unit,series_label
2024-01-31,152.88,3,9422965,Cereal Granola Oat & Honey,50.96,Cereal Granola Oat & Honey
2024-02-29,1477.84,29,9422965,Cereal Granola Oat & Honey,50.959999999999994,Cereal Granola Oat & Honey
2024-03-31,1579.76,31,9422965,Cereal Granola Oat & Honey,50.96,Cereal Granola Oat & Honey
2024-04-30,1681.68,33,9422965,Cereal Granola Oat & Honey,50.96,Cereal Granola Oat & Honey
2024-05-31,305.76,6,9422965,Cereal Granola Oat & Honey,50.96,Cereal Granola Oat & Honey
2024-06-30,305.76,6,9422965,Cereal Granola Oat & Honey,50.96,Cereal Granola Oat & Honey
2024-07-31,306.46,6,9422965,Cereal Granola Oat & Honey,51.07666666666666,Cereal Granola Oat & Honey
2024-08-31,919.8,18,9422965,Cereal Granola Oat & Honey,51.099999999999994,Cereal Granola Oat & Honey
2024-09-30,1635.2,32,9422965,Cereal Granola Oat & Honey,51.1,Cereal Granola Oat & Honey
2024-10-31,2248.4,44,9422965,Cereal Granola Oat & Honey,51.1,Cereal Granola Oat & Honey
2024-11-30,1890.7,37,9422965,Cereal Granola Oat & Honey,51.1,Cereal Granola Oat & Honey
2024-12-31,970.9,19,9422965,Cereal Granola Oat & Honey,51.1,Cereal Granola Oat & Honey
2025-01-31,511,10,9422965,Cereal Granola Oat & Honey,51.1,Cereal Granola Oat & Honey
2025-02-28,1788.5,35,9422965,Cereal Granola Oat & Honey,51.1,Cereal Granola Oat & Honey
2025-03-31,1839.6,36,9422965,Cereal Granola Oat & Honey,51.099999999999994,Cereal Granola Oat & Honey
2025-04-30,2197.3,43,9422965,Cereal Granola Oat & Honey,51.1,Cereal Granola Oat & Honey
2025-05-31,1226.4,24,9422965,Cereal Granola Oat & Honey,51.1,Cereal Granola Oat & Honey
2025-06-30,459.9,9,9422965,Cereal Granola Oat & Honey,51.099999999999994,Cereal Granola Oat & Honey
2025-07-31,204.4,4,9422965,Cereal Granola Oat & Honey,51.1,Cereal Granola Oat & Honey
2025-08-31,919.8,18,9422965,Cereal Granola Oat & Honey,51.099999999999994,Cereal Granola Oat & Honey
2025-09-30,2299.5,45,9422965,Cereal Granola Oat & Honey,51.1,Cereal Granola Oat & Honey
2025-10-31,2452.8,48,9422965,Cereal Granola Oat & Honey,51.1,Cereal Granola Oat & Honey
2024-01-31,588.88,17,7832888,Chip Potato Kettle 16 oz SS,34.64,Chip Potato Kettle 16 oz SS
2024-02-29,2736.56,79,7832888,Chip Potato Kettle 16 oz SS,34.64,Chip Potato Kettle 16 oz SS
2024-03-31,2494.08,72,7832888,Chip Potato Kettle 16 oz SS,34.64,Chip Potato Kettle 16 oz SS
2024-04-30,2736.56,79,7832888,Chip Potato Kettle 16 oz SS,34.64,Chip Potato Kettle 16 oz SS
2024-05-31,277.12,8,7832888,Chip Potato Kettle 16 oz SS,34.64,Chip Potato Kettle 16 oz SS
2024-06-30,277.12,8,7832888,Chip Potato Kettle 16 oz SS,34.64,Chip Potato Kettle 16 oz SS
2024-07-31,350.1,10,7832888,Chip Potato Kettle 16 oz SS,35.010000000000005,Chip Potato Kettle 16 oz SS
2024-08-31,805.23,23,7832888,Chip Potato Kettle 16 oz SS,35.01,Chip Potato Kettle 16 oz SS
2024-09-30,3676.05,105,7832888,Chip Potato Kettle 16 oz SS,35.010000000000005,Chip Potato Kettle 16 oz SS
2024-10-31,3360.96,96,7832888,Chip Potato Kettle 16 oz SS,35.01,Chip Potato Kettle 16 oz SS
2024-11-30,2660.76,76,7832888,Chip Potato Kettle 16 oz SS,35.010000000000005,Chip Potato Kettle 16 oz SS
2024-12-31,1715.49,49,7832888,Chip Potato Kettle 16 oz SS,35.01,Chip Potato Kettle 16 oz SS
2025-01-31,595.17,17,7832888,Chip Potato Kettle 16 oz SS,35.01,Chip Potato Kettle 16 oz SS
