Item ID,Item Name,times_purchased
0,0,27
0052332,Rice Sushi,22
2167948,Fruit Mango In-Juice Import Slcd Pld REF,22
2554244,Spread Hummus Plain REF,22
2716959,Sauce Alfredo BIB FZN GF,22
4198719,Spread Ketchup Tomato Dispenser Fcy SS,22
6362412,Oil Canola Olive Virgin 75/25 Blend,22
6367866,Fruit Peach 90-195 Ct Slcd CND,22
7335839,Spread Mayonnaise Chipotle SS,22
7832888,Chip Potato Kettle 16 oz SS,22
9008475,Sauce Spaghetti Tomato CND SS,22
9332313,Veg Bean Black Fcy CND,22
9422965,Cereal Granola Oat & Honey,22
2170200,Sauce Cheese White Pouch SS,21
8018475,Potato HashBrown Patty Tri 2oz PRFRD FZN,21
222-33756,Mix Original,20
0,1,8
2,0,6
0,2,5
1-Unknown,1-Breakfast,5
1,0,4
0,3,3
1,1,3
3,0,3
4,2,3
0,13,2
0,17,2
0,19,2
0,29,2
0,34,2
0,4,2
0,7,2
4,1,2
0,115,1
0,116,1
0,18,1
0,20,1
0,24,1
0,25,1
0,26,1
0,28,1
0,30,1
0,32,1
0,36,1
0,37,1
0,39,1
0,49,1
0,63,1
0,65,1
0,77,1
0,9,1
1,11,1
1,117,1
1,2,1
1,21,1
1,26,1
1,279,1
1,3,1
1,53,1
1,67,1
1,9,1
10,107,1
106,0,1
109,188,1
109,220,1
11,0,1
11,1,1
11,7,1
11,73,1
110,267,1
113,274,1
12,0,1
12,26,1
13,1,1
13,11,1
14,0,1
144,60,1
16,2,1
164,71,1
166,70,1
168,73,1
173,117,1
183,79,1
183,82,1
188,78,1
198,104,1
2,13,1
2,2,1
2,3,1
2,32,1
2,67,1
20,0,1
21,36,1
21,8,1
210,114,1
210,94,1
22,1,1
22,29,1
3,10,1
3,12,1
3,26,1
3,39,1
3,65,1
3,68,1
3,78,1
314,23,1
369,72,1
39,24,1
4,0,1
4,11,1
4,13,1
4,18,1
4,3,1
4,35,1
4,7,1
44,1,1
44,12,1
45,29,1
5,0,1
5,10,1
5,20,1
5,3,1
54,48,1
56,65,1
58,55,1
58,57,1
67,54,1
7,0,1
7,24,1
7,4,1
7955,3387,1
8,35,1
8,6,1
8653,3276,1
8657,3083,1
8693,3159,1
8885,3185,1
Column2,Column3,1
From,"February 06, 2022",1
From,"February 13, 2022",1
From,"February 20, 2022",1
From,"February 27, 2022",1
From,"January 30, 2022",1
