,meal_swipes,total_quantity
2024-01-31,0.0,126
2024-02-29,160688.32,546
2024-03-31,119608.32,477
2024-04-30,143712.4,652.8333299999999
2024-05-31,114164.96,153
2024-06-30,0.0,153
2024-07-31,0.0,130.5
2024-08-31,0.0,253
2024-09-30,237158.48,725
2024-10-31,188210.88,746.1666299999999
2024-11-30,142493.52000000002,639.0
2024-12-31,174938.4,344
2025-01-31,0.0,167
2025-02-28,167115.85280000002,617
2025-03-31,124392.65280000001,518
2025-04-30,149460.896,585
2025-05-31,118731.55840000001,420.83334
2025-06-30,0.0,134
2025-07-31,0.0,121
2025-08-31,0.0,276
2025-09-30,246644.81920000003,691
2025-10-31,195739.3152,668
