week_ending,total_cost
2024-02-04,5955.679999999999
2024-02-11,0
2024-02-18,0
2024-02-25,0
2024-03-03,26388.989999999998
2024-03-10,0
2024-03-17,0
2024-03-24,0
2024-03-31,21896.28
2024-04-07,0
2024-04-14,0
2024-04-21,0
2024-04-28,0
2024-05-05,30104.93
2024-05-12,0
2024-05-19,0
2024-05-26,0
2024-06-02,7516.360000000001
2024-06-09,0
2024-06-16,0
2024-06-23,0
2024-06-30,7516.360000000001
2024-07-07,0
2024-07-14,0
2024-07-21,0
2024-07-28,0
2024-08-04,6588.570000000001
2024-08-11,0
2024-08-18,0
2024-08-25,0
2024-09-01,12169.470000000001
2024-09-08,0
2024-09-15,0
2024-09-22,0
2024-09-29,0
2024-10-06,34823.759999999995
2024-10-13,0
2024-10-20,0
2024-10-27,0
2024-11-03,35741.49
2024-11-10,0
2024-11-17,0
2024-11-24,0
2024-12-01,31114.450000000004
2024-12-08,0
2024-12-15,0
2024-12-22,0
2024-12-29,0
2025-01-05,15756.440000000002
2025-01-12,0
2025-01-19,0
2025-01-26,0
2025-02-02,8091.400000000001
2025-02-09,0
2025-02-16,0
2025-02-23,0
2025-03-02,29622.430000000004
2025-03-09,0
2025-03-16,0
2025-03-23,0
2025-03-30,0
2025-04-06,25477.870000000003
2025-04-13,0
2025-04-20,0
2025-04-27,0
2025-05-04,27790.539999999997
2025-05-11,0
2025-05-18,0
2025-05-25,0
2025-06-01,20336.43
2025-06-08,0
2025-06-15,0
2025-06-22,0
2025-06-29,0
2025-07-06,6756.68
2025-07-13,0
2025-07-20,0
2025-07-27,0
2025-08-03,6525.849999999999
2025-08-10,0
2025-08-17,0
2025-08-24,0
2025-08-31,13868.22
2025-09-07,0
2025-09-14,0
2025-09-21,0
2025-09-28,0
2025-10-05,32528.770000000004
2025-10-12,0
2025-10-19,0
2025-10-26,0
2025-11-02,31394.529999999995
